id;mathjax_1;mathjax_2;type
1;$${\frac{d}{dx}x^2}$$;$${2x}$$;TYPE_1
2;$${\frac{d}{dx}x^3}$$;$${3x^2}$$;TYPE_1
3;$${\frac{d}{dx}x}$$;$${1}$$;TYPE_1
4;$${\frac{d}{dx}lnx}$$;$${\frac{1}{x}}$$;TYPE_1
5;$${\frac{d}{dx}x^2 + 1}$$;$${2x}$$;TYPE_1
6;$${\frac{d}{dx}x^3 + 2}$$;$${3x^2}$$;TYPE_1
7;$${\frac{d}{dx}x^4 + 1}$$;$${4x^3}$$;TYPE_1
8;$${\frac{d}{dx}x + 3}$$;$${1}$$;TYPE_1
9;$${\frac{d}{dx}ln(x + 2)}$$;$${\frac{1}{x + 2}}$$;TYPE_1
10;$${\frac{d}{dx}ln(x^2)}$$;$${\frac{2}{x}}$$;TYPE_1
11;$${\frac{d}{dx}2x}$$;$${\frac{1}{x}}$$;TYPE_1
12;$${\frac{d}{dx} \frac{x}{2}}$$;$${\frac{1}{2}}$$;TYPE_1
13;$${\frac{d}{dx} \frac{x^2}{2}}$$;$${x}$$;TYPE_1
14;$${\frac{d}{dx} \frac{x^2}{2} + 1}$$;$${x}$$;TYPE_1
15;$${\frac{d}{dx} \frac{x^4}{2} + 3}$$;$${2x^3}$$;TYPE_1
16;$${\frac{d}{dx} \frac{x^3}{2}}$$;$${\frac{3x^2}{2}}$$;TYPE_1
17;$${\frac{d}{dx} \frac{x^3}{3}}$$;$${x^2}$$;TYPE_1
18;$${\frac{d}{dx} \frac{x^4}{4}}$$;$${x^3}$$;TYPE_1
19;$${\frac{d}{dx} \frac{x^2}{4}}$$;$${\frac{x}{2}}$$;TYPE_1
20;$${\frac{d}{dx} \frac{2x^2}{4}}$$;$${x}$$;TYPE_1
21;$${\frac{d}{dx} \frac{x^4}{3}}$$;$${\frac{4x^3}{3}}$$;TYPE_1
22;$${\frac{d}{dx} \frac{2x^2}{2}}$$;$${2x}$$;TYPE_1
23;$${\frac{d}{dx} \frac{2x^3}{2} + 3}$$;$${3x}$$;TYPE_1
24;$${\frac{d}{dx} \frac{2x}{3} + 1}$$;$${\frac{2}{3}}$$;TYPE_1
25;$${\frac{d}{dx}x^2 + x}$$;$${2x + 1}$$;TYPE_1
26;$${\frac{d}{dx}x^2 + x + 2}$$;$${2x + 1}$$;TYPE_1
27;$${\frac{d}{dx}2x^3 + 2x}$$;$${6x^2 + 2}$$;TYPE_1
28;$${\frac{d}{dx}2x^3 + x^2 - 2}$$;$${6x^2 + 2x}$$;TYPE_1
29;$${\frac{d}{dx} \frac{x^2}{2} + x}$$;$${x + 1}$$;TYPE_1
30;$${\frac{d}{dx} \frac{2x^2}{4} + x}$$;$${x + 1}$$;TYPE_1
31;$${\frac{d}{dx} \frac{x^3}{2} + x^2}$$;$${\frac{3x^2}{2} + 2x}$$;TYPE_1
32;$${\frac{d}{dx} \frac{x^4}{4} + \frac{x^3}{3}}$$;$${x^3 + x^2}$$;TYPE_1
33;$${\frac{d}{dx} \frac{x^4}{3} + \frac{x^3}{2}}$$;$${\frac{4x^3}{3} + \frac{3x^2}{2}}$$;TYPE_1
34;$${\frac{d}{dx} \frac{x^4}{2} + \frac{x^2}{3}}$$;$${2x^3 + \frac{2x}{3}}$$;TYPE_1
35;$${\frac{d}{dx} \frac{x^4}{3} + \frac{x^2}{2}}$$;$${\frac{4x^3}{3} + x}$$;TYPE_1
36;$${\frac{d}{dx} \frac{x^3}{6} + \frac{x}{2}}$$;$${\frac{x^2}{3} + \frac{1}{2}}$$;TYPE_1
37;$${\frac{d}{dx} \frac{x^2}{2} . \frac{x}{2}}$$;$${\frac{3x^2}{4}}$$;TYPE_1
38;$${\frac{d}{dx} \frac{x^2}{3} . x}$$;$${x^2}$$;TYPE_1
39;$${\frac{d}{dx} \frac{x^3}{3} . \frac{x}{2}}$$;$${\frac{2x^3}{3}}$$;TYPE_1
40;$${\frac{d}{dx} sin(x)}$$;$${cos(x)}$$;TYPE_1
41;$${\frac{d}{dx} cos(x)}$$;$${-sin(x)}$$;TYPE_1
