id;mathjax_1;mathjax_2;type
1;$${\int 2x^2 dx}$$;$${\frac{2x^3}{3} + c}$$;TYPE_2
2;$${\int 3x^3 dx}$$;$${\frac{3x^4}{4} + c}$$;TYPE_2
3;$${\int 2x^3 dx}$$;$${\frac{x^4}{2} + c}$$;TYPE_2
4;$${\int x^2 dx}$$;$${\frac{x^3}{3} + c}$$;TYPE_2
5;$${\int 2x dx}$$;$${x^2 + c}$$;TYPE_2
6;$${\int 3x^2 dx}$$;$${x^3 + c}$$;TYPE_2
7;$${\int \frac{1}{x} dx}$$;$${ln(|x|) + c}$$;TYPE_2
8;$${\int \frac{1}{2x} dx}$$;$${\frac{1}{2} ln(|x|) + c}$$;TYPE_2
9;$${\int \frac{1}{x} + 1 dx}$$;$${ln(|x|) + x + c}$$;TYPE_2
10;$${\int \frac{x}{2x}  dx}$$;$${\frac{1}{2} x + c}$$;TYPE_2
11;$${\int \frac{2x}{x}  dx}$$;$${2x + c}$$;TYPE_2
12;$${\int \frac{2x}{3x}  dx}$$;$${\frac{2}{3} x + c}$$;TYPE_2
13;$${\int x + 1 dx}$$;$${\frac{x^2}{2} + x + c}$$;TYPE_2
14;$${\int 2x + 1 dx}$$;$${x^2 + x + c}$$;TYPE_2
15;$${\int x + 2 dx}$$;$${\frac{x^2}{2} + 2x + c}$$;TYPE_2
16;$${\int 2x + 2 dx}$$;$${x^2 + 2x + c}$$;TYPE_2
17;$${\int 3^x dx}$$;$${\frac{3^x}{ln(3)} + c}$$;TYPE_2
18;$${\int sin (x + 1) dx}$$;$${-cos(x+1) + c}$$;TYPE_2
19;$${\int cos (x + 1) dx}$$;$${sin(x+1) + c}$$;TYPE_2
20;$${\int sin (2x) dx}$$;$${-\frac{cos(2x)}{2} + c}$$;TYPE_2
21;$${\int cos (2x) dx}$$;$${\frac{sin(2x)}{2} + c}$$;TYPE_2
22;$${\int \frac{1}{sin^2 x} dx}$$;$${-cotg(x) + c}$$;TYPE_2
23;$${\int sin (x) dx}$$;$${-cos(x) + c}$$;TYPE_2
24;$${\int cos (x) dx}$$;$${sin(x) + c}$$;TYPE_2
25;$${\int \frac{1}{cos^2 x} dx}$$;$${tg(x) + c}$$;TYPE_2
