id;mathjax_1;mathjax_2;type
1;;;TYPE_3
2;;;TYPE_3
3;;;TYPE_3
4;;;TYPE_3
5;;;TYPE_3
6;;;TYPE_3
7;$${\lim_{x \rightarrow \infty} \frac{2+x}{x}}$$;$${1}$$;TYPE_3
8;$${\lim_{x \rightarrow \infty} \frac{x}{2}}$$;$${\infty}$$;TYPE_3
9;$${\lim_{x \rightarrow 0} \frac{x}{2}}$$;$${0}$$;TYPE_3
10;$${\lim_{x \rightarrow 0} \frac{3}{2x}}$$;$${\infty}$$;TYPE_3
11;;;TYPE_3
12;;;TYPE_3
13;$${\lim_{x \rightarrow \infty} \frac{3x^2}{2x^2}}$$;$${\frac{3}{2}}$$;TYPE_3
14;;;TYPE_3
15;;;TYPE_3
16;;;TYPE_3
17;;;TYPE_3
18;;;TYPE_3
19;;;TYPE_3
20;;;TYPE_3
21;;;TYPE_3
22;;;TYPE_3
23;;;TYPE_3
24;;;TYPE_3
25;;;TYPE_3
